temRT,temHashtag,temUser,temURL,temLetraRepetid,numeroLetrasRepetidas,temPontoInterrogacao,temPontoExclamaco,EmojisPositivo,EmojisNegativo,quantidadePalavras,quantidadePalavrasQueIniciamMaiusculas,quantidadePalavrastodasAsLetrasMaiusculas,quantidadeLetrasMaiusculas,quantidadePontosInterogacao,quantidadePontosExclamacao,quantidadeEmojisPositivos,quantidadeEmojisNegativos,mediaCharacteresPorPalavra,classe
0,0,1,0,0,0,1,0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,15.0,9.0,1.0,17.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,17.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,NEGATIVO
0,0,0,1,1,5,0,0,0.0,0.0,20.0,14.0,1.0,22.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,0,0,0,0,0,1,0.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,POSITIVO
0,0,1,0,0,0,1,1,0.0,0.0,34.0,8.0,5.0,31.0,1.0,3.0,0.0,0.0,5.0,NEGATIVO
0,0,0,1,1,3,0,0,0.0,0.0,37.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,1,0,0.0,0.0,51.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,NEGATIVO
